State Name,Quarter,Year,Fixed State F&O,Reports per 100K-F&O together,State Pop,State Total Reports Quarter
District of Columbia,1,2020,1942,275.168650611,705749,1942
Georgia,2,2019,25092,236.328532828,10617423,25092
New York,1,2019,34171,175.654215699,19453561,34171
Alabama,2,2018,9435,192.425943545,4903185,9435
New Jersey,4,2019,13984,157.438649702,8882190,13984
Idaho,1,2018,2566,143.587390498,1787065,2566
Utah,4,2021,5546,172.990413474,3205958,5546
Hawaii,3,2018,1682,118.796049360,1415872,1682
Wyoming,3,2021,1067,184.359984035,578759,1067
West Virginia,3,2019,2846,158.803937400,1792147,2846
Idaho,1,2019,2435,136.256935254,1787065,2435
South Carolina,4,2018,9814,190.610703954,5148714,9814
District of Columbia,1,2021,3294,466.738174620,705749,3294
New Hampshire,1,2018,1930,141.941927365,1359711,1930
South Dakota,4,2019,770,87.039186851,884659,770
Vermont,2,2020,1189,190.548230818,623989,1189
Pennsylvania,3,2020,31348,244.868199777,12801989,31348
Maine,2,2020,2378,176.906618896,1344212,2378
Mississippi,1,2019,3756,126.203358770,2976149,3756
New Hampshire,3,2021,3025,222.473746259,1359711,3025
Ohio,2,2018,19696,168.498857910,11689100,19696
Rhode Island,1,2018,1538,145.181859630,1059361,1538
Michigan,4,2019,14388,144.069350347,9986857,14388
Vermont,4,2018,830,133.015165331,623989,830
North Carolina,1,2022,21909,208.894207941,10488084,21909
New Mexico,2,2019,3698,176.361544027,2096829,3698
Oklahoma,4,2018,4681,118.297556388,3956971,4681
Montana,4,2021,1822,170.475065916,1068778,1822
Minnesota,2,2020,10302,182.671493459,5639632,10302
Florida,1,2018,56866,264.767186599,21477737,56866
Washington,1,2020,12332,161.945808037,7614893,12332
Colorado,2,2018,10673,185.335809803,5758736,10673
Utah,3,2021,6702,209.048278237,3205958,6702
Oregon,4,2019,6566,155.675899185,4217737,6566
Alaska,1,2021,2665,364.297479991,731545,2665
Pennsylvania,4,2021,33282,259.975227287,12801989,33282
Arizona,3,2018,14520,199.485706066,7278717,14520
New Hampshire,1,2019,2161,158.930831625,1359711,2161
Ohio,3,2018,20154,172.417038095,11689100,20154
Kansas,2,2019,4682,160.710448651,2913314,4682
Rhode Island,1,2022,1977,186.621935299,1059361,1977
Tennessee,3,2019,13530,198.120592622,6829174,13530
North Dakota,1,2020,725,95.136616181,762062,725
Delaware,4,2019,2089,214.528366216,973764,2089
Hawaii,1,2022,2405,169.859987343,1415872,2405
Virginia,4,2019,14408,168.800514649,8535519,14408
New Hampshire,1,2022,2363,173.786929723,1359711,2363
Massachusetts,3,2021,16804,243.801127109,6892503,16804
Florida,2,2020,66679,310.456357669,21477737,66679
Colorado,2,2021,16056,278.811183565,5758736,16056
District of Columbia,4,2018,2062,292.171862801,705749,2062
Florida,3,2019,54592,254.179478965,21477737,54592
Hawaii,1,2020,2009,141.891357411,1415872,2009
Florida,3,2018,56998,265.381776488,21477737,56998
Vermont,2,2021,1457,233.497705889,623989,1457
Wisconsin,2,2019,9564,164.261200728,5822434,9564
Arizona,1,2022,14821,203.621050248,7278717,14821
South Carolina,4,2020,13198,256.335853963,5148714,13198
Wisconsin,1,2019,8366,143.685613268,5822434,8366
New Mexico,4,2021,3735,178.126113288,2096829,3735
Minnesota,4,2021,9218,163.450381160,5639632,9218
Tennessee,4,2020,18160,265.917957282,6829174,18160
Washington,2,2019,15513,203.719211813,7614893,15513
South Carolina,4,2021,12031,233.669999926,5148714,12031
Oregon,4,2018,6267,148.586789551,4217737,6267
Nebraska,2,2019,2764,142.886092282,1934408,2764
Texas,1,2018,54509,187.988769853,28995881,54509
Wyoming,3,2020,1045,180.558747251,578759,1045
Oklahoma,1,2022,5864,148.194161645,3956971,5864
Minnesota,1,2019,7678,136.143634904,5639632,7678
Delaware,1,2018,2000,205.388574644,973764,2000
District of Columbia,1,2020,1942,275.168650611,705749,0
Utah,2,2019,5078,158.392592791,3205958,5078
Oklahoma,4,2020,6794,171.696987418,3956971,6794
Texas,3,2018,56558,195.055290784,28995881,56558
Ohio,3,2021,29717,254.228298158,11689100,29717
Mississippi,4,2021,5522,185.541785710,2976149,5522
Wisconsin,2,2018,7455,128.039235825,5822434,7455
Tennessee,1,2018,12037,176.258505055,6829174,12037
Louisiana,2,2021,16297,350.564038759,4648794,16297
Utah,2,2018,3891,121.367778368,3205958,3891
Kentucky,4,2021,7507,168.029307427,4467673,7507
South Carolina,2,2019,10049,195.174950483,5148714,10049
Rhode Island,2,2019,1590,150.090479072,1059361,1590
Vermont,4,2020,1255,201.125340351,623989,1255
Delaware,3,2020,3183,326.875916547,973764,3183
Iowa,1,2019,3725,118.063941529,3155070,3725
California,2,2019,81249,205.630040102,39512223,81249
Alaska,2,2019,1234,168.684086420,731545,1234
Idaho,1,2020,2536,141.908660289,1787065,2536
Nevada,2,2019,8452,274.401686148,3080156,8452
Nevada,2,2021,11581,375.987449986,3080156,11581
California,1,2021,107438,271.910795806,39512223,107438
Idaho,1,2020,2536,141.908660289,1787065,2536
South Dakota,2,2021,1351,152.714209656,884659,1351
New York,4,2019,31706,162.983013753,19453561,31706
Washington,1,2019,11478,150.730942641,7614893,11478
New York,3,2019,35562,182.804577527,19453561,35562
Illinois,4,2019,19214,151.627773151,12671821,19214
Kentucky,3,2021,9049,202.543919396,4467673,9049
Rhode Island,1,2020,1592,150.279272127,1059361,1592
Pennsylvania,2,2018,20591,160.842194131,12801989,20591
Indiana,4,2020,13998,207.925499750,6732219,13998
Tennessee,3,2019,13530,198.120592622,6829174,13530
Louisiana,2,2018,7265,156.277090359,4648794,7265
District of Columbia,1,2022,2537,359.476244387,705749,2537
South Carolina,2,2018,9660,187.619665804,5148714,9660
Florida,2,2021,80027,372.604432208,21477737,80027
Utah,2,2019,5078,158.392592791,3205958,5078
New Mexico,1,2020,3290,156.903591089,2096829,3290
Oregon,4,2020,10077,238.919591241,4217737,10077
Maine,4,2021,2077,154.514317682,1344212,2077
California,3,2020,93753,237.275943700,39512223,93753
Ohio,2,2019,22416,191.768399620,11689100,22416
Washington,2,2019,15513,203.719211813,7614893,15513
Alabama,1,2020,8072,164.627685882,4903185,8072
Oregon,3,2020,9695,229.862601675,4217737,9695
Louisiana,3,2020,10529,226.488848506,4648794,10529
New Jersey,2,2019,16349,184.064965960,8882190,16349
Massachusetts,2,2020,13532,196.329258036,6892503,13532
Washington,1,2019,11478,150.730942641,7614893,11478
New Hampshire,4,2019,2029,149.222886334,1359711,2029
New York,4,2018,30103,154.742877152,19453561,30103
Michigan,3,2021,22572,226.017054214,9986857,22572
New Mexico,1,2021,5581,266.163812118,2096829,5581
New Mexico,3,2019,3709,176.886145699,2096829,3709
Massachusetts,4,2021,13142,190.670936233,6892503,13142
Vermont,3,2021,1262,202.247154998,623989,1262
New Hampshire,3,2020,2799,205.852567200,1359711,2799
Wisconsin,1,2022,9377,161.049485490,5822434,9377
Massachusetts,1,2020,10607,153.891844516,6892503,10607
Ohio,4,2021,23619,202.060038840,11689100,23619
Arizona,1,2022,14821,203.621050248,7278717,14821
Wisconsin,2,2021,12068,207.267270011,5822434,12068
Hawaii,2,2019,2146,151.567373322,1415872,2146
Louisiana,4,2018,6882,148.038394474,4648794,6882
Idaho,2,2020,2946,164.851306472,1787065,2946
West Virginia,2,2021,3670,204.782308594,1792147,3670
Pennsylvania,2,2021,38158,298.063058795,12801989,38158
Florida,2,2020,66679,310.456357669,21477737,66679
Illinois,4,2019,19214,151.627773151,12671821,19214
Ohio,1,2020,19696,168.498857910,11689100,19696
South Carolina,4,2020,13198,256.335853963,5148714,13198
Rhode Island,2,2018,1676,158.208580456,1059361,1676
Oregon,3,2021,10503,249.019794264,4217737,10503
Louisiana,1,2018,6810,146.489605691,4648794,6810
Kansas,1,2018,4099,140.698874203,2913314,4099
Michigan,4,2018,15163,151.829549577,9986857,15163
New Hampshire,3,2020,2799,205.852567200,1359711,2799
Nevada,1,2022,8568,278.167729167,3080156,8568
Nevada,4,2021,8893,288.719142797,3080156,8893
Minnesota,1,2020,8431,149.495569924,5639632,8431
Ohio,4,2018,18605,159.165376291,11689100,18605
Kentucky,1,2019,6041,135.215804738,4467673,6041
Idaho,2,2018,2551,142.748025394,1787065,2551
New Mexico,1,2020,3290,156.903591089,2096829,3290
Hawaii,1,2019,1718,121.338652082,1415872,1718
North Dakota,2,2018,675,88.575470237,762062,675
California,1,2021,107438,271.910795806,39512223,107438
Virginia,1,2019,14590,170.932781006,8535519,14590
Virginia,4,2018,13729,160.845520934,8535519,13729
New Mexico,1,2019,2860,136.396434807,2096829,2860
Washington,1,2019,11478,150.730942641,7614893,11478
Idaho,2,2019,2812,157.352978207,1787065,2812
South Dakota,4,2018,838,94.725764391,884659,838
Georgia,3,2018,25037,235.810516356,10617423,25037
Puerto Rico,3,2020,1702,53.292519571,3193694,1702
Pennsylvania,1,2022,33937,265.091619748,12801989,0
Massachusetts,1,2021,21023,305.012562200,6892503,21023
Michigan,3,2021,22572,226.017054214,9986857,22572
Hawaii,1,2021,3448,243.524838403,1415872,3448
New Mexico,2,2021,4998,238.359923484,2096829,4998
Michigan,4,2021,18881,189.058479560,9986857,18881
Maine,3,2021,2642,196.546378101,1344212,2642
Oklahoma,1,2020,5010,126.611996904,3956971,5010
West Virginia,4,2018,2567,143.236018028,1792147,2567
Iowa,4,2018,3429,108.682216242,3155070,3429
Connecticut,4,2020,8054,225.900467480,3565287,8054
California,3,2019,71475,180.893390888,39512223,71475
Wisconsin,4,2019,8130,139.632325588,5822434,8130
Connecticut,3,2020,8019,224.918779330,3565287,8019
Maine,2,2021,3089,229.800061300,1344212,3089
Maine,1,2021,3520,261.863456062,1344212,3520
Ohio,1,2022,21749,186.062228914,11689100,21749
Texas,4,2021,64965,224.049064072,28995881,64965
Arizona,4,2018,12272,168.601142207,7278717,12272
Illinois,1,2021,42765,337.481092891,12671821,42765
New Mexico,1,2020,3290,156.903591089,2096829,3290
Ohio,4,2021,23619,202.060038840,11689100,23619
New York,2,2019,39284,201.937321398,19453561,39284
Washington,4,2020,18564,243.785434674,7614893,18564
Mississippi,4,2018,4028,135.342686136,2976149,0
Arizona,3,2020,19028,261.419698004,7278717,19028
Oklahoma,1,2021,9365,236.670928344,3956971,9365
Louisiana,2,2019,7570,162.837931730,4648794,7570
North Dakota,1,2021,1525,200.114951277,762062,1525
New Hampshire,4,2021,2382,175.184285484,1359711,2382
Oregon,4,2021,8255,195.721070328,4217737,8255
Florida,3,2021,78078,363.529919377,21477737,78078
Oklahoma,1,2022,5864,148.194161645,3956971,5864
North Dakota,2,2018,675,88.575470237,762062,675
Missouri,4,2019,9904,161.370528502,6137428,9904
Virginia,1,2021,28022,328.298724424,8535519,28022
Vermont,4,2018,830,133.015165331,623989,830
Mississippi,1,2021,7240,243.267390174,2976149,7240
South Carolina,1,2020,9446,183.463288114,5148714,9446
Hawaii,1,2019,1718,121.338652082,1415872,1718
Oklahoma,1,2020,5010,126.611996904,3956971,5010
Nevada,4,2019,6848,222.326401650,3080156,6848
Oklahoma,1,2019,4869,123.048665254,3956971,4869
Maine,1,2019,1750,130.187797758,1344212,1750
Minnesota,4,2018,7273,128.962315272,5639632,7273
Delaware,1,2020,2359,242.255823793,973764,2359
Georgia,4,2019,21002,197.806944303,10617423,21002
Georgia,1,2022,31987,301.268961404,10617423,31987
North Dakota,3,2021,1066,139.883631516,762062,1066
Montana,1,2021,2577,241.116490048,1068778,2577
Ohio,1,2022,21749,186.062228914,11689100,21749
Mississippi,2,2020,5091,171.059983892,2976149,5091
Massachusetts,4,2020,16679,241.987562428,6892503,16679
New York,3,2020,49583,254.878785432,19453561,49583
Texas,3,2019,53177,183.395013933,28995881,53177
Idaho,1,2021,4438,248.340155506,1787065,4438
New Jersey,3,2019,17556,197.653956963,8882190,17556
District of Columbia,3,2018,2083,295.147424934,705749,2083
Louisiana,2,2019,7570,162.837931730,4648794,7570
Utah,3,2020,6471,201.842943669,3205958,6471
Nevada,4,2019,6848,222.326401650,3080156,6848
Florida,1,2019,44731,208.266820662,21477737,44731
New Jersey,4,2019,13984,157.438649702,8882190,13984
Hawaii,4,2020,2792,197.192966596,1415872,2792
Idaho,1,2019,2435,136.256935254,1787065,2435
Kansas,2,2020,4760,163.387811956,2913314,4760
New York,1,2022,40607,208.738132828,19453561,40607
South Dakota,4,2019,770,87.039186851,884659,770
Mississippi,3,2019,4706,158.123803613,2976149,4706
Minnesota,2,2019,9078,160.967949682,5639632,9078
Mississippi,1,2020,4045,135.913894096,2976149,4045
Florida,2,2018,59081,275.080191177,21477737,59081
Vermont,4,2019,800,128.207388271,623989,800
Arkansas,3,2020,7580,251.176020709,3017804,7580
West Virginia,4,2021,3047,170.019535228,1792147,3047
Georgia,3,2018,25037,235.810516356,10617423,25037
North Carolina,1,2022,21909,208.894207941,10488084,21909
Louisiana,2,2021,16297,350.564038759,4648794,16297
Oklahoma,1,2019,4869,123.048665254,3956971,4869
Alabama,4,2018,7575,154.491417313,4903185,7575
Wyoming,1,2022,851,147.038750153,578759,851
Maine,4,2021,2077,154.514317682,1344212,2077
Michigan,3,2019,15907,159.279340838,9986857,15907
West Virginia,4,2021,3047,170.019535228,1792147,3047
Delaware,1,2020,2359,242.255823793,973764,2359
Connecticut,4,2021,6685,187.502436690,3565287,6685
Alaska,3,2019,1063,145.308901025,731545,1063
Wisconsin,2,2019,9564,164.261200728,5822434,9564
Alaska,1,2020,1167,159.525388049,731545,1167
California,1,2020,64095,162.215626289,39512223,64095
Arizona,2,2021,20956,287.907882667,7278717,20956
Florida,1,2019,44731,208.266820662,21477737,44731
Arkansas,1,2022,4738,157.001581282,3017804,4738
Florida,2,2021,80027,372.604432208,21477737,80027
Pennsylvania,1,2019,20130,157.241191193,12801989,20130
New Hampshire,2,2020,2742,201.660499915,1359711,2742
District of Columbia,1,2020,1942,275.168650611,705749,1942
Idaho,1,2019,2435,136.256935254,1787065,2435
New Mexico,4,2018,3139,149.702240860,2096829,3139
Nebraska,1,2021,4245,219.446983263,1934408,4245
Louisiana,1,2018,6810,146.489605691,4648794,6810
California,4,2018,59360,150.231992768,39512223,59360
Nevada,4,2020,9672,314.010069620,3080156,9672
New York,2,2020,44350,227.978826087,19453561,44350
Maryland,2,2018,12039,199.133927036,6045680,12039
Wisconsin,2,2020,10398,178.585107191,5822434,10398
Oregon,2,2021,10917,258.835484526,4217737,10917
Illinois,1,2021,42765,337.481092891,12671821,42765
Oklahoma,1,2020,5010,126.611996904,3956971,5010
West Virginia,3,2020,3657,204.056921670,1792147,3657
Michigan,4,2019,14388,144.069350347,9986857,14388
Idaho,4,2020,3271,183.037550397,1787065,3271
Arkansas,4,2019,3986,132.082799281,3017804,3986
Louisiana,4,2020,9730,209.301595209,4648794,9730
Montana,2,2019,1733,162.147798701,1068778,1733
Illinois,3,2018,19519,154.034688463,12671821,19519
Texas,2,2020,63827,220.124368699,28995881,63827
Maine,1,2020,1897,141.123572770,1344212,1897
South Dakota,4,2020,1256,141.975608681,884659,1256
Arizona,3,2020,19028,261.419698004,7278717,19028
Missouri,4,2019,9904,161.370528502,6137428,9904
Mississippi,3,2019,4706,158.123803613,2976149,4706
Ohio,3,2019,22016,188.346408192,11689100,22016
Vermont,4,2018,830,133.015165331,623989,830
Georgia,3,2018,25037,235.810516356,10617423,25037
Alabama,2,2018,9435,192.425943545,4903185,9435
West Virginia,4,2021,3047,170.019535228,1792147,3047
Maine,4,2018,1780,132.419588577,1344212,1780
Rhode Island,3,2018,1744,164.627544340,1059361,1744
Pennsylvania,1,2019,20130,157.241191193,12801989,20130
Wisconsin,2,2019,9564,164.261200728,5822434,9564
Wisconsin,4,2021,9738,167.249641645,5822434,9738
Georgia,2,2018,26339,248.073379011,10617423,26339
New Hampshire,3,2020,2799,205.852567200,1359711,2799
California,2,2020,90270,228.460949919,39512223,90270
Wisconsin,4,2020,11480,197.168400707,5822434,11480
Arkansas,2,2020,7962,263.834231779,3017804,7962
Michigan,2,2020,19785,198.110376468,9986857,19785
Arizona,3,2020,19028,261.419698004,7278717,19028
Arizona,1,2020,12745,175.099540207,7278717,12745
Minnesota,4,2020,10951,194.179336524,5639632,10951
Texas,2,2019,51744,178.452932677,28995881,51744
Wisconsin,3,2021,12144,208.572566044,5822434,12144
Montana,2,2019,1733,162.147798701,1068778,1733
Nevada,4,2021,8893,288.719142797,3080156,8893
Alaska,2,2018,1010,138.063960522,731545,1010
Utah,3,2020,6471,201.842943669,3205958,6471
Vermont,4,2018,830,133.015165331,623989,830
Oklahoma,2,2019,5626,142.179459996,3956971,5626
District of Columbia,2,2020,2342,331.846024578,705749,2342
Wyoming,1,2022,851,147.038750153,578759,851
Kentucky,1,2020,6867,153.704176649,4467673,6867
Ohio,2,2019,22416,191.768399620,11689100,22416
Indiana,2,2020,11868,176.286600302,6732219,11868
Idaho,2,2020,2946,164.851306472,1787065,2946
Rhode Island,2,2020,1994,188.226676270,1059361,1994
Delaware,1,2019,1900,195.119145912,973764,1900
North Carolina,3,2018,18639,177.715967950,10488084,18639
New Hampshire,4,2019,2029,149.222886334,1359711,2029
Idaho,4,2021,2933,164.123856715,1787065,2933
New Jersey,4,2018,14455,162.741395985,8882190,14455
Wyoming,1,2021,1201,207.512971721,578759,1201
Mississippi,2,2019,4519,151.840516049,2976149,4519
Massachusetts,2,2018,9769,141.733706899,6892503,9769
Maryland,4,2018,10914,180.525598444,6045680,10914
Indiana,2,2020,11868,176.286600302,6732219,11868
California,3,2018,69265,175.300184958,39512223,69265
Wisconsin,3,2020,11655,200.174016571,5822434,11655
Rhode Island,2,2018,1676,158.208580456,1059361,0
District of Columbia,3,2019,2336,330.995863969,705749,2336
Maine,1,2019,1750,130.187797758,1344212,1750
Massachusetts,2,2021,17964,260.631007342,6892503,17964
Florida,3,2018,56998,265.381776488,21477737,56998
Delaware,2,2021,3611,370.829071520,973764,3611
Maine,3,2018,1777,132.196409495,1344212,1777
Maryland,2,2019,13599,224.937476016,6045680,13599
Kentucky,1,2020,6867,153.704176649,4467673,6867
Hawaii,4,2018,1631,115.194028839,1415872,1631
Kentucky,2,2020,8144,182.287289155,4467673,8144
New York,3,2018,31798,163.455934880,19453561,31798
North Carolina,1,2019,18425,175.675557137,10488084,18425
Texas,2,2018,57667,198.879971952,28995881,57667
Arkansas,3,2019,4564,151.235799277,3017804,4564
Vermont,3,2020,1249,200.163784939,623989,1249
South Dakota,1,2019,914,103.316645171,884659,914
District of Columbia,3,2019,2336,330.995863969,705749,2336
California,1,2021,107438,271.910795806,39512223,107438
North Dakota,2,2021,1283,168.359004910,762062,1283
Missouri,1,2019,10330,168.311546791,6137428,10330
Rhode Island,1,2022,1977,186.621935299,1059361,1977
Oregon,1,2019,6599,156.458309278,4217737,6599
Illinois,4,2021,25971,204.950811726,12671821,25971
Alabama,2,2020,10855,221.386710883,4903185,10855
Montana,2,2018,1662,155.504697889,1068778,1662
Pennsylvania,1,2022,33937,265.091619748,12801989,33937
Nebraska,4,2020,3275,169.302442918,1934408,3275
Pennsylvania,1,2020,22475,175.558657331,12801989,0
Alaska,1,2018,988,135.056626728,731545,988
Minnesota,2,2020,10302,182.671493459,5639632,0
Missouri,4,2018,10056,163.847135966,6137428,10056
New York,3,2021,51881,266.691532722,19453561,51881
New Hampshire,3,2021,3025,222.473746259,1359711,3025
Nebraska,4,2020,3275,169.302442918,1934408,3275
Connecticut,4,2019,5721,160.463940210,3565287,5721
