Fixed Overall Qtr Count ,Fraud,Quarter,Report Type,State Name,Year,Fixed State Type,Overall # of Reports by Type QTR,State Fraud/Other Count
263547,Other,1,Other,District of Columbia,2020,895,263547,895
535536,Fraud,2,Fraud,Georgia,2019,13528,535536,13528
230049,Other,1,Other,New York,2019,11818,230049,11818
322678,Other,2,Other,Alabama,2018,5107,322678,5107
403773,Fraud,4,Fraud,New Jersey,2019,8080,403773,8080
320281,Other,1,Other,Idaho,2018,937,320281,937
573651,Fraud,4,Fraud,Utah,2021,4020,573651,4020
399061,Fraud,3,Fraud,Hawaii,2018,1077,399061,1077
729337,Fraud,3,Fraud,Wyoming,2021,796,729337,796
248549,Other,3,Other,West Virginia,2019,820,248549,820
230049,Other,1,Other,Idaho,2019,713,230049,713
250155,Other,4,Other,South Carolina,2018,5103,250155,5103
831544,Fraud,1,Fraud,District of Columbia,2021,2073,831544,2073
320281,Other,1,Other,New Hampshire,2018,805,320281,805
403773,Fraud,4,Fraud,South Dakota,2019,524,403773,524
305963,Other,2,Other,Vermont,2020,271,305963,271
648197,Fraud,3,Fraud,Pennsylvania,2020,19972,648197,19972
600629,Fraud,2,Fraud,Maine,2020,1667,600629,1667
230049,Other,1,Other,Mississippi,2019,1467,230049,1467
729337,Fraud,3,Fraud,New Hampshire,2021,2234,729337,2234
380279,Fraud,2,Fraud,Ohio,2018,9892,380279,9892
320281,Other,1,Other,Rhode Island,2018,759,320281,759
403773,Fraud,4,Fraud,Michigan,2019,9479,403773,9479
383241,Fraud,4,Fraud,Vermont,2018,599,383241,599
328392,Other,1,Other,North Carolina,2022,10352,328392,10352
535536,Fraud,2,Fraud,New Mexico,2019,2607,535536,2607
383241,Fraud,4,Fraud,Oklahoma,2018,2903,383241,2903
336868,Other,4,Other,Montana,2021,437,336868,437
600629,Fraud,2,Fraud,Minnesota,2020,7755,600629,7755
320281,Other,1,Other,Florida,2018,36748,320281,36748
263547,Other,1,Other,Washington,2020,3960,263547,3960
380279,Fraud,2,Fraud,Colorado,2018,6135,380279,6135
729337,Fraud,3,Fraud,Utah,2021,5004,729337,5004
236641,Other,4,Other,Oregon,2019,1983,236641,1983
831544,Fraud,1,Fraud,Alaska,2021,2155,831544,2155
336868,Other,4,Other,Pennsylvania,2021,17645,336868,17645
399061,Fraud,3,Fraud,Arizona,2018,8846,399061,8846
230049,Other,1,Other,New Hampshire,2019,765,230049,765
310369,Other,3,Other,Ohio,2018,9296,310369,9296
535536,Fraud,2,Fraud,Kansas,2019,3493,535536,3493
328392,Other,1,Other,Rhode Island,2022,759,328392,759
529166,Fraud,3,Fraud,Tennessee,2019,9025,529166,9025
435820,Fraud,1,Fraud,North Dakota,2020,522,435820,522
236641,Other,4,Other,Delaware,2019,829,236641,829
492886,Fraud,1,Fraud,Hawaii,2022,1748,492886,1748
236641,Other,4,Other,Virginia,2019,5385,236641,5385
492886,Fraud,1,Fraud,New Hampshire,2022,1664,492886,1664
415398,Other,3,Other,Massachusetts,2021,6104,415398,6104
305963,Other,2,Other,Florida,2020,29857,305963,29857
406911,Other,2,Other,Colorado,2021,4477,406911,4477
383241,Fraud,4,Fraud,District of Columbia,2018,1095,383241,1095
529166,Fraud,3,Fraud,Florida,2019,31721,529166,31721
435820,Fraud,1,Fraud,Hawaii,2020,1355,435820,1355
399061,Fraud,3,Fraud,Florida,2018,23787,399061,23787
729718,Fraud,2,Fraud,Vermont,2021,1150,729718,1150
535536,Fraud,2,Fraud,Wisconsin,2019,7008,535536,7008
492886,Fraud,1,Fraud,Arizona,2022,9323,492886,9323
360718,Other,4,Other,South Carolina,2020,5752,360718,5752
413575,Fraud,1,Fraud,Wisconsin,2019,5665,413575,5665
573651,Fraud,4,Fraud,New Mexico,2021,2668,573651,2668
336868,Other,4,Other,Minnesota,2021,2942,336868,2942
360718,Other,4,Other,Tennessee,2020,8185,360718,8185
253567,Other,2,Other,Washington,2019,3921,253567,3921
336868,Other,4,Other,South Carolina,2021,5773,336868,5773
383241,Fraud,4,Fraud,Oregon,2018,4336,383241,4336
535536,Fraud,2,Fraud,Nebraska,2019,2198,535536,2198
320281,Other,1,Other,Texas,2018,35119,320281,35119
336713,Other,3,Other,Wyoming,2020,279,336713,279
492886,Fraud,1,Fraud,Oklahoma,2022,3771,492886,3771
413575,Fraud,1,Fraud,Minnesota,2019,5446,413575,5446
320281,Other,1,Other,Delaware,2018,1035,320281,1035
0,IDT,1,Identity Theft,District of Columbia,2020,0,0,0
253567,Other,2,Other,Utah,2019,1678,253567,1678
624173,Fraud,4,Fraud,Oklahoma,2020,4825,624173,4825
399061,Fraud,3,Fraud,Texas,2018,24763,399061,24763
415398,Other,3,Other,Ohio,2021,11785,415398,11785
336868,Other,4,Other,Mississippi,2021,2760,336868,2760
380279,Fraud,2,Fraud,Wisconsin,2018,4624,380279,4624
360304,Fraud,1,Fraud,Tennessee,2018,5978,360304,5978
406911,Other,2,Other,Louisiana,2021,10233,406911,10233
322678,Other,2,Other,Utah,2018,1458,322678,1458
336868,Other,4,Other,Kentucky,2021,2269,336868,2269
535536,Fraud,2,Fraud,South Carolina,2019,6288,535536,6288
253567,Other,2,Other,Rhode Island,2019,503,253567,503
360718,Other,4,Other,Vermont,2020,297,360718,297
648197,Fraud,3,Fraud,Delaware,2020,1986,648197,1986
230049,Other,1,Other,Iowa,2019,1071,230049,1071
535536,Fraud,2,Fraud,California,2019,57804,535536,57804
253567,Other,2,Other,Alaska,2019,290,253567,290
435820,Fraud,1,Fraud,Idaho,2020,1779,435820,1779
253567,Other,2,Other,Nevada,2019,3002,253567,3002
729718,Fraud,2,Fraud,Nevada,2021,6559,729718,6559
413841,Other,1,Other,California,2021,38432,413841,38432
435820,Fraud,1,Fraud,Idaho,2020,1779,435820,1779
406911,Other,2,Other,South Dakota,2021,330,406911,330
403773,Fraud,4,Fraud,New York,2019,18723,403773,18723
230049,Other,1,Other,Washington,2019,3548,230049,3548
248549,Other,3,Other,New York,2019,13683,248549,13683
236641,Other,4,Other,Illinois,2019,7754,236641,7754
415398,Other,3,Other,Kentucky,2021,2778,415398,2778
