State Name,Fraud,Quarter,Report Type,Year,Fixed Overall Qtr Losses,Fixed State Qtr Losses,Overall Total Losses by Type Qtr,Total Losses
District of Columbia,Other,1,Other,2020,273618221.910002,340823.9,273618221.910002,340823.9
Georgia,Fraud,2,Fraud,2019,602374374.655126,11684637.55,602374374.655126,11684637.55
New York,Other,1,Other,2019,196919122.739999,10866017.07,196919122.739999,10866017.07
Alabama,Other,2,Other,2018,193419326.630001,1181231.2,193419326.630001,1181231.2
New Jersey,Fraud,4,Fraud,2019,665563062.760347,14383493.38,665563062.760347,14383493.38
Idaho,Other,1,Other,2018,122608613.55,374724.52,122608613.55,374724.52
Utah,Fraud,4,Fraud,2021,1831379366.41022,10585948.83,1831379366.41022,10585948.83
Hawaii,Fraud,3,Fraud,2018,434213799.69002,2448787.3,434213799.69002,2448787.3
Wyoming,Fraud,3,Fraud,2021,1605525076.80025,812457.81,1605525076.80025,812457.81
West Virginia,Other,3,Other,2019,282964798.270002,589851.44,282964798.270002,589851.44
Idaho,Other,1,Other,2019,196919122.739999,1027342.97,196919122.739999,1027342.97
South Carolina,Other,4,Other,2018,198059364.600001,1864790.5,198059364.600001,1864790.5
District of Columbia,Fraud,1,Fraud,2021,1299670971.24025,1410875.93,1299670971.24025,1410875.93
New Hampshire,Other,1,Other,2018,122608613.55,824914.97,122608613.55,824914.97
South Dakota,Fraud,4,Fraud,2019,665563062.760347,337764.95,665563062.760347,337764.95
Vermont,Other,2,Other,2020,280093545.500005,106433.25,280093545.500005,106433.25
Pennsylvania,Fraud,3,Fraud,2020,890919586.840231,22139532.1399999,890919586.840231,22139532.1399999
Maine,Fraud,2,Fraud,2020,819552937.990118,974749.879999999,819552937.990118,974749.879999999
Mississippi,Other,1,Other,2019,196919122.739999,728410.49,196919122.739999,728410.49
New Hampshire,Fraud,3,Fraud,2021,1605525076.80025,2251341.76,1605525076.80025,2251341.76
Ohio,Fraud,2,Fraud,2018,436359324.65002,7782952.77000005,436359324.65002,7782952.77000005
Rhode Island,Other,1,Other,2018,122608613.55,322381.08,122608613.55,322381.08
Michigan,Fraud,4,Fraud,2019,665563062.760347,8739537.83000007,665563062.760347,8739537.83000007
Vermont,Fraud,4,Fraud,2018,397093881.427538,1054515.02,397093881.427538,1054515.02
North Carolina,Other,1,Other,2022,211915621.62,3043746.19,211915621.62,3043746.19
New Mexico,Fraud,2,Fraud,2019,602374374.655126,5575955.22000001,602374374.655126,5575955.22000001
Oklahoma,Fraud,4,Fraud,2018,397093881.427538,3410500.12000001,397093881.427538,3410500.12000001
Montana,Other,4,Other,2021,198243503.149999,195913.37,198243503.149999,195913.37
Minnesota,Fraud,2,Fraud,2020,819552937.990118,9389989.05000005,819552937.990118,9389989.05000005
Florida,Other,1,Other,2018,122608613.55,9680373.38,122608613.55,9680373.38
Washington,Other,1,Other,2020,273618221.910002,4163860.1,273618221.910002,4163860.1
Colorado,Fraud,2,Fraud,2018,436359324.65002,5896087.65000002,436359324.65002,5896087.65000002
Utah,Fraud,3,Fraud,2021,1605525076.80025,8108862.70000002,1605525076.80025,8108862.70000002
Oregon,Other,4,Other,2019,295265401.890004,1392603.16,295265401.890004,1392603.16
Alaska,Fraud,1,Fraud,2021,1299670971.24025,3261353.45,1299670971.24025,3261353.45
Pennsylvania,Other,4,Other,2021,198243503.149999,2524498.84,198243503.149999,2524498.84
Arizona,Fraud,3,Fraud,2018,434213799.69002,7988737.74000002,434213799.69002,7988737.74000002
New Hampshire,Other,1,Other,2019,196919122.739999,437231.22,196919122.739999,437231.22
Ohio,Other,3,Other,2018,229059946.16,5747838.27000001,229059946.16,5747838.27000001
Kansas,Fraud,2,Fraud,2019,602374374.655126,4999730.31000001,602374374.655126,4999730.31000001
Rhode Island,Other,1,Other,2022,211915621.62,494198.36,211915621.62,494198.36
Tennessee,Fraud,3,Fraud,2019,665445943.337642,7840375.49000003,665445943.337642,7840375.49000003
North Dakota,Fraud,1,Fraud,2020,731467189.080063,771857.32,731467189.080063,771857.32
Delaware,Other,4,Other,2019,295265401.890004,441508.4,295265401.890004,441508.4
Hawaii,Fraud,1,Fraud,2022,1691830157.70014,6175954.1,1691830157.70014,6175954.1
Virginia,Other,4,Other,2019,295265401.890004,5563095.38000001,295265401.890004,5563095.38000001
New Hampshire,Fraud,1,Fraud,2022,1691830157.70014,5534708.21,1691830157.70014,5534708.21
Massachusetts,Other,3,Other,2021,196990073.340001,1793514.49,196990073.340001,1793514.49
Florida,Other,2,Other,2020,280093545.500005,21356687.5699999,280093545.500005,21356687.5699999
Colorado,Other,2,Other,2021,193273318.52,3134263.31,193273318.52,3134263.31
District of Columbia,Fraud,4,Fraud,2018,397093881.427538,481754.69,397093881.427538,481754.69
Florida,Fraud,3,Fraud,2019,665445943.337642,39064918.0799998,665445943.337642,39064918.0799998
Hawaii,Fraud,1,Fraud,2020,731467189.080063,4076668.16,731467189.080063,4076668.16
Florida,Fraud,3,Fraud,2018,434213799.69002,22451555.4699999,434213799.69002,22451555.4699999
Vermont,Fraud,2,Fraud,2021,1363092689.48017,1525129.35,1363092689.48017,1525129.35
Wisconsin,Fraud,2,Fraud,2019,602374374.655126,5340576.35000001,602374374.655126,5340576.35000001
Arizona,Fraud,1,Fraud,2022,1691830157.70014,30556098.55,1691830157.70014,30556098.55
South Carolina,Other,4,Other,2020,330804770.270009,4534864.99000001,330804770.270009,4534864.99000001
Wisconsin,Fraud,1,Fraud,2019,508677995.648923,5774844.89000001,508677995.648923,5774844.89000001
New Mexico,Fraud,4,Fraud,2021,1831379366.41022,5586007.39,1831379366.41022,5586007.39
Minnesota,Other,4,Other,2021,198243503.149999,933055.7,198243503.149999,933055.7
Tennessee,Other,4,Other,2020,330804770.270009,6235949.24000001,330804770.270009,6235949.24000001
Washington,Other,2,Other,2019,195488970.690001,2541247.95,195488970.690001,2541247.95
South Carolina,Other,4,Other,2021,198243503.149999,1595986.11,198243503.149999,1595986.11
Oregon,Fraud,4,Fraud,2018,397093881.427538,2557263.13000001,397093881.427538,2557263.13000001
Nebraska,Fraud,2,Fraud,2019,602374374.655126,1979475.06,602374374.655126,1979475.06
Texas,Other,1,Other,2018,122608613.55,9956784.12000001,122608613.55,9956784.12000001
Wyoming,Other,3,Other,2020,332376597.910007,148245.76,332376597.910007,148245.76
Oklahoma,Fraud,1,Fraud,2022,1691830157.70014,11191311.67,1691830157.70014,11191311.67
Minnesota,Fraud,1,Fraud,2019,508677995.648923,6036574.43000002,508677995.648923,6036574.43000002
Delaware,Other,1,Other,2018,122608613.55,472979.84,122608613.55,472979.84
District of Columbia,IDT,1,Identity Theft,2020,0,0,0,0
Utah,Other,2,Other,2019,195488970.690001,1090845.97,195488970.690001,1090845.97
Oklahoma,Fraud,4,Fraud,2020,1003279528.43026,6788480.52000002,1003279528.43026,6788480.52000002
Texas,Fraud,3,Fraud,2018,434213799.69002,31219629.3499998,434213799.69002,31219629.3499998
Ohio,Other,3,Other,2021,196990073.340001,4541982.98,196990073.340001,4541982.98
Mississippi,Other,4,Other,2021,198243503.149999,546811.74,198243503.149999,546811.74
Wisconsin,Fraud,2,Fraud,2018,436359324.65002,2566369.71000001,436359324.65002,2566369.71000001
Tennessee,Fraud,1,Fraud,2018,348224707.170025,5033149.27000002,348224707.170025,5033149.27000002
Louisiana,Other,2,Other,2021,193273318.52,1994043.13,193273318.52,1994043.13
Utah,Other,2,Other,2018,193419326.630001,1412805.62,193419326.630001,1412805.62
Kentucky,Other,4,Other,2021,198243503.149999,1748865.37,198243503.149999,1748865.37
South Carolina,Fraud,2,Fraud,2019,602374374.655126,7052244.63000001,602374374.655126,7052244.63000001
Rhode Island,Other,2,Other,2019,195488970.690001,257497.97,195488970.690001,257497.97
Vermont,Other,4,Other,2020,330804770.270009,1952999.55,330804770.270009,1952999.55
Delaware,Fraud,3,Fraud,2020,890919586.840231,2255883.67,890919586.840231,2255883.67
Iowa,Other,1,Other,2019,196919122.739999,467166.69,196919122.739999,467166.69
California,Fraud,2,Fraud,2019,602374374.655126,78816183.1500001,602374374.655126,78816183.1500001
Alaska,Other,2,Other,2019,195488970.690001,375732.93,195488970.690001,375732.93
Idaho,Fraud,1,Fraud,2020,731467189.080063,1748796.55,731467189.080063,1748796.55
Nevada,Other,2,Other,2019,195488970.690001,1517623.54,195488970.690001,1517623.54
Nevada,Fraud,2,Fraud,2021,1363092689.48017,16173283.21,1363092689.48017,16173283.21
California,Other,1,Other,2021,279256627.530002,33279741.2199998,279256627.530002,33279741.2199998
Idaho,Fraud,1,Fraud,2020,731467189.080063,1748796.55,731467189.080063,1748796.55
South Dakota,Other,2,Other,2021,193273318.52,203630.7,193273318.52,203630.7
New York,Fraud,4,Fraud,2019,665563062.760347,35551334.1599998,665563062.760347,35551334.1599998
Washington,Other,1,Other,2019,196919122.739999,2615131.1,196919122.739999,2615131.1
New York,Other,3,Other,2019,282964798.270002,11872894.19,282964798.270002,11872894.19
Illinois,Other,4,Other,2019,295265401.890004,6169779.87000002,295265401.890004,6169779.87000002
Kentucky,Other,3,Other,2021,196990073.340001,689631.8,196990073.340001,689631.8
Rhode Island,Other,1,Other,2020,273618221.910002,544334.61,273618221.910002,544334.61
Pennsylvania,Fraud,2,Fraud,2018,436359324.65002,8315637.04000005,436359324.65002,8315637.04000005
Indiana,Other,4,Other,2020,330804770.270009,3525172.08,330804770.270009,3525172.08
Tennessee,Fraud,3,Fraud,2019,665445943.337642,7840375.49000003,665445943.337642,7840375.49000003
Louisiana,Other,2,Other,2018,193419326.630001,1892945.3,193419326.630001,1892945.3
District of Columbia,Other,1,Other,2022,211915621.62,378898.91,211915621.62,378898.91
South Carolina,Other,2,Other,2018,193419326.630001,2286523.68,193419326.630001,2286523.68
Florida,Fraud,2,Fraud,2021,1363092689.48017,77775099.7899999,1363092689.48017,77775099.7899999
Utah,Other,2,Other,2019,195488970.690001,1090845.97,195488970.690001,1090845.97
New Mexico,Other,1,Other,2020,273618221.910002,1836021.71,273618221.910002,1836021.71
Oregon,Fraud,4,Fraud,2020,1003279528.43026,14226561.3500001,1003279528.43026,14226561.3500001
Maine,Fraud,4,Fraud,2021,1831379366.41022,2391421.8,1831379366.41022,2391421.8
California,Other,3,Other,2020,332376597.910007,33695783.5399998,332376597.910007,33695783.5399998
Ohio,Other,2,Other,2019,195488970.690001,4806782.65,195488970.690001,4806782.65
Washington,Fraud,2,Fraud,2019,602374374.655126,12445352.37,602374374.655126,12445352.37
Alabama,Fraud,1,Fraud,2020,731467189.080063,5973833.88000002,731467189.080063,5973833.88000002
Oregon,Fraud,3,Fraud,2020,890919586.840231,9214337.39000005,890919586.840231,9214337.39000005
Louisiana,Fraud,3,Fraud,2020,890919586.840231,5602150.60000002,890919586.840231,5602150.60000002
New Jersey,Other,2,Other,2019,195488970.690001,4328537.05,195488970.690001,4328537.05
Massachusetts,Fraud,2,Fraud,2020,819552937.990118,10854401.0200001,819552937.990118,10854401.0200001
