State Name,Quarter,Report Type,State Median Year,Year,Fixed Overall Median Qtr,Fixed Overall Median Yr,Fixed State Median Qtr,Fixed State Median Yr,Overall Median Losses Qtr,Overall Median Losses Yr,State Median Quarterly
District of Columbia,1,Other,481.6,2020,495,487.89,430,481.6,495,487.89,430
Georgia,2,Fraud,334.49,2019,422.08,394.99,400,334.49,422.08,394.99,400
New York,1,Other,400,2019,410.21,476.66,400,400,410.21,476.66,400
Alabama,2,Other,377,2018,499,460,353.515,377,499,460,353.515
New Jersey,4,Fraud,389.06,2019,335.88,394.99,350,389.06,335.88,394.99,350
Idaho,1,Other,452,2018,500,460,347,452,500,460,347
Utah,4,Fraud,500,2021,550,500,570,500,550,500,570
Hawaii,3,Fraud,400,2018,380,370,400,400,380,370,400
Wyoming,3,Fraud,500,2021,500,500,400,500,500,500,400
West Virginia,3,Other,294.34,2019,500,476.66,280,294.34,500,476.66,280
Idaho,1,Other,400,2019,410.21,476.66,259,400,410.21,476.66,259
South Carolina,4,Other,374,2018,400.08,460,309.16,374,400.08,460,309.16
District of Columbia,1,Fraud,500,2021,402.995,500,450,500,402.995,500,450
New Hampshire,1,Other,394.5,2018,500,460,700,394.5,500,460,700
South Dakota,4,Fraud,300,2019,335.88,394.99,264.95,300,335.88,394.99,264.95
Vermont,2,Other,400,2020,431,487.89,480.08,400,431,487.89,480.08
Pennsylvania,3,Fraud,254.75,2020,279,304.99,220,254.75,279,304.99,220
Maine,2,Fraud,216.935,2020,325,304.99,202.5,216.935,325,304.99,202.5
Mississippi,1,Other,472.9,2019,410.21,476.66,500,472.9,410.21,476.66,500
New Hampshire,3,Fraud,450,2021,500,500,400,450,500,500,400
Ohio,2,Fraud,300,2018,396,370,300,300,396,370,300
Rhode Island,1,Other,420,2018,500,460,585,420,500,460,585
Michigan,4,Fraud,300,2019,335.88,394.99,246,300,335.88,394.99,246
Vermont,4,Fraud,330.495,2018,306.25,370,408.99,330.495,306.25,370,408.99
North Carolina,1,Other,780,2022,727.875,727.875,780,780,727.875,727.875,780
New Mexico,2,Fraud,500,2019,422.08,394.99,659,500,422.08,394.99,659
Oklahoma,4,Fraud,300,2018,306.25,370,222.5,300,306.25,370,222.5
Montana,4,Other,774.5,2021,700,618.38,1000,774.5,700,618.38,1000
Minnesota,2,Fraud,300,2020,325,304.99,450,300,325,304.99,450
Florida,1,Other,466.81,2018,500,460,558.5,466.81,500,460,558.5
Washington,1,Other,500,2020,495,487.89,500,500,495,487.89,500
Colorado,2,Fraud,350,2018,396,370,406.535,350,396,370,406.535
Utah,3,Fraud,500,2021,500,500,500,500,500,500,500
Oregon,4,Other,400,2019,492,476.66,350,400,492,476.66,350
Alaska,1,Fraud,611,2021,402.995,500,500,611,402.995,500,500
Pennsylvania,4,Other,564.55,2021,700,618.38,547,564.55,700,618.38,547
